,link_id,roadname,start_lon,start_lat
0,83585420,首都高速湾岸線,139.61914279513888,35.387905815972225
1,83585485,首都高速湾岸線,139.62179036458335,35.385592447916665
2,83585609,首都高速湾岸線,139.61992838541667,35.40112413194444
3,83585658,首都高速湾岸線,139.61868489583333,35.39909939236111
4,83585806,首都高速湾岸線,139.62001085069446,35.40148654513889
5,83585863,首都高速湾岸線,139.618203125,35.39909939236111
6,83585888,首都高速湾岸線,139.61754774305555,35.39813368055555
7,83586020,首都高速湾岸線,139.6179296875,35.389233940972225
8,83586069,首都高速湾岸線,139.61939453125,35.38723090277778
9,83586126,首都高速湾岸線,139.62178168402778,35.38508463541667
10,83586135,首都高速湾岸線,139.62179036458335,35.38508463541667
11,83586355,首都高速湾岸線,139.94163628472222,35.683780381944445
12,83586485,首都高速湾岸線,139.93425130208334,35.67852647569445
13,83586502,首都高速湾岸線,139.9336111111111,35.677957899305554
14,83586663,首都高速湾岸線,139.92621961805557,35.671482204861114
15,83586688,首都高速湾岸線,139.92518880208334,35.67061414930556
16,83586713,首都高速湾岸線,139.92436631944443,35.669911024305556
17,83586866,首都高速湾岸線,139.91797960069445,35.66325520833333
18,83587011,首都高速湾岸線,139.91166449652778,35.657578125
19,83587092,首都高速湾岸線,139.90804904513888,35.654522569444445
20,83587157,首都高速湾岸線,139.90501085069445,35.65202907986111
21,83587206,首都高速湾岸線,139.9030056423611,35.65033637152778
22,83587239,首都高速湾岸線,139.90149522569445,35.64907986111111
23,83587248,首都高速湾岸線,139.90111328125,35.64876519097222
24,83587457,首都高速湾岸線,139.8912890625,35.64052083333333
25,83587546,首都高速湾岸線,139.88671875,35.63793185763889
26,83587651,首都高速湾岸線,139.88018880208332,35.63828342013889
27,83587788,首都高速湾岸線,139.8717578125,35.64137369791667
28,83587797,首都高速湾岸線,139.87136935763888,35.64154296875
29,83587910,首都高速湾岸線,139.86436631944446,35.64409505208334
30,83587999,首都高速湾岸線,139.85881944444444,35.646098090277775
31,83588040,首都高速湾岸線,139.85628038194446,35.64655164930556
32,83588057,首都高速湾岸線,139.85564670138888,35.6466015625
33,83588138,首都高速湾岸線,139.85032118055557,35.646937934027775
34,83588211,首都高速湾岸線,139.84562934027778,35.64723307291667
35,83588292,首都高速湾岸線,139.84051866319444,35.64753689236111
36,83588301,首都高速湾岸線,139.84050998263888,35.64753689236111
37,83588382,首都高速湾岸線,139.8351410590278,35.647486979166665
38,83588527,首都高速湾岸線,139.82575737847222,35.6466015625
39,83588560,首都高速湾岸線,139.82389539930554,35.64642795138889
40,83588609,首都高速湾岸線,139.8209592013889,35.646143663194444
41,83588674,首都高速湾岸線,139.81680772569445,35.64561414930556
42,83588707,首都高速湾岸線,139.81499348958334,35.64508029513889
43,83588780,首都高速湾岸線,139.81075954861112,35.64372178819445
44,83588805,首都高速湾岸線,139.80926432291668,35.64324001736111
45,83588814,首都高速湾岸線,139.80892795138888,35.64312717013889
46,83588839,首都高速湾岸線,139.80776041666667,35.64275173611111
47,83588888,首都高速湾岸線,139.80480034722223,35.64179470486111
48,83588921,首都高速湾岸線,139.80283203125,35.6411328125
49,83588978,首都高速湾岸線,139.79965928819445,35.63966362847222
50,83588995,首都高速湾岸線,139.79908637152778,35.63934244791667
51,83589108,首都高速湾岸線,139.79281684027777,35.635904947916664
52,83589117,首都高速湾岸線,139.7925802951389,35.635783420138885
53,83589126,首都高速湾岸線,139.79213758680555,35.635553385416664
54,83589199,首都高速湾岸線,139.78829210069443,35.63347439236111
55,83589208,首都高速湾岸線,139.78787326388888,35.63324435763889
56,83589281,首都高速湾岸線,139.78379991319446,35.63103732638889
57,83589322,首都高速湾岸線,139.78184678819446,35.62997395833333
58,83589355,首都高速湾岸線,139.78013020833333,35.62903862847222
59,83589388,首都高速湾岸線,139.77865885416668,35.628246527777776
60,83589397,首都高速湾岸線,139.77855034722222,35.62818359375
61,83589414,首都高速湾岸線,139.77801649305556,35.62789930555556
62,83589423,首都高速湾岸線,139.77755859375,35.62766059027778
